2|Add Two Numbers|add-two-numbers
1091|Shortest Path in Binary Matrix|shortest-path-in-binary-matrix
1093|Statistics from a Large Sample|statistics-from-a-large-sample
1094|Car Pooling|car-pooling
1503|Last Moment Before All Ants Fall Out of a Plank|last-moment-before-all-ants-fall-out-of-a-plank
1504|Count Submatrices With All Ones|count-submatrices-with-all-ones
1508|Range Sum of Sorted Subarray Sums|range-sum-of-sorted-subarray-sums
1509|Minimum Difference Between Largest and Smallest Value in Three Moves|minimum-difference-between-largest-and-smallest-value-in-three-moves
1513|Number of Substrings With Only 1s|number-of-substrings-with-only-1s
1514|Path with Maximum Probability|path-with-maximum-probability
1519|Number of Nodes in the Sub-Tree With the Same Label|number-of-nodes-in-the-sub-tree-with-the-same-label
1524|Number of Sub-arrays With Odd Sum|number-of-sub-arrays-with-odd-sum
1525|Number of Good Ways to Split a String|number-of-good-ways-to-split-a-string
1529|Minimum Suffix Flips|minimum-suffix-flips
1530|Number of Good Leaf Nodes Pairs|number-of-good-leaf-nodes-pairs
1535|Find the Winner of an Array Game|find-the-winner-of-an-array-game
1536|Minimum Swaps to Arrange a Binary Grid|minimum-swaps-to-arrange-a-binary-grid
1540|Can Convert String in K Moves|can-convert-string-in-k-moves
1541|Minimum Insertions to Balance a Parentheses String|minimum-insertions-to-balance-a-parentheses-string
1545|Find Kth Bit in Nth Binary String|find-kth-bit-in-nth-binary-string
1546|Maximum Number of Non-Overlapping Subarrays With Sum Equals Target|maximum-number-of-non-overlapping-subarrays-with-sum-equals-target
1551|Minimum Operations to Make Array Equal|minimum-operations-to-make-array-equal
1552|Magnetic Force Between Two Balls|magnetic-force-between-two-balls
1557|Minimum Number of Vertices to Reach All Nodes|minimum-number-of-vertices-to-reach-all-nodes
1558|Minimum Numbers of Function Calls to Make Target Array|minimum-numbers-of-function-calls-to-make-target-array
1559|Detect Cycles in 2D Grid|detect-cycles-in-2d-grid
1561|Maximum Number of Coins You Can Get|maximum-number-of-coins-you-can-get
1562|Find Latest Group of Size M|find-latest-group-of-size-m
1567|Maximum Length of Subarray With Positive Product|maximum-length-of-subarray-with-positive-product
1573|Number of Ways to Split a String|number-of-ways-to-split-a-string
1574|Shortest Subarray to be Removed to Make Array Sorted|shortest-subarray-to-be-removed-to-make-array-sorted
1577|Number of Ways Where Square of Number Is Equal to Product of Two Numbers|number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers
1578|Minimum Time to Make Rope Colorful|minimum-time-to-make-rope-colorful
1583|Count Unhappy Friends|count-unhappy-friends
1584|Min Cost to Connect All Points|min-cost-to-connect-all-points
1589|Maximum Sum Obtained of Any Permutation|maximum-sum-obtained-of-any-permutation
1590|Make Sum Divisible by P|make-sum-divisible-by-p
1593|Split a String Into the Max Number of Unique Substrings|split-a-string-into-the-max-number-of-unique-substrings
1594|Maximum Non Negative Product in a Matrix|maximum-non-negative-product-in-a-matrix
1599|Maximum Profit of Operating a Centennial Wheel|maximum-profit-of-operating-a-centennial-wheel
1600|Throne Inheritance|throne-inheritance
2001|Number of Pairs of Interchangeable Rectangles|number-of-pairs-of-interchangeable-rectangles
2002|Maximum Product of the Length of Two Palindromic Subsequences|maximum-product-of-the-length-of-two-palindromic-subsequences
2007|Find Original Array From Doubled Array|find-original-array-from-doubled-array
2008|Maximum Earnings From Taxi|maximum-earnings-from-taxi
2012|Sum of Beauty in the Array|sum-of-beauty-in-the-array
2013|Detect Squares|detect-squares
2017|Grid Game|grid-game
2018|Check if Word Can Be Placed In Crossword|check-if-word-can-be-placed-in-crossword
2023|Number of Pairs of Strings With Concatenation Equal to Target|number-of-pairs-of-strings-with-concatenation-equal-to-target
2024|Maximize the Confusion of an Exam|maximize-the-confusion-of-an-exam
2028|Find Missing Observations|find-missing-observations
2029|Stone Game IX|stone-game-ix
2033|Minimum Operations to Make a Uni-Value Grid|minimum-operations-to-make-a-uni-value-grid
2034|Stock Price Fluctuation |stock-price-fluctuation
2038|Remove Colored Pieces if Both Neighbors are the Same Color|remove-colored-pieces-if-both-neighbors-are-the-same-color
2039|The Time When the Network Becomes Idle|the-time-when-the-network-becomes-idle
2043|Simple Bank System|simple-bank-system
2044|Count Number of Maximum Bitwise-OR Subsets|count-number-of-maximum-bitwise-or-subsets
2048|Next Greater Numerically Balanced Number|next-greater-numerically-balanced-number
2049|Count Nodes With the Highest Score|count-nodes-with-the-highest-score
2054|Two Best Non-Overlapping Events|two-best-non-overlapping-events
2055|Plates Between Candles|plates-between-candles
2058|Find the Minimum and Maximum Number of Nodes Between Critical Points|find-the-minimum-and-maximum-number-of-nodes-between-critical-points
2059|Minimum Operations to Convert Number|minimum-operations-to-convert-number
2063|Vowels of All Substrings|vowels-of-all-substrings
2064|Minimized Maximum of Products Distributed to Any Store|minimized-maximum-of-products-distributed-to-any-store
2069|Walking Robot Simulation II|walking-robot-simulation-ii
2070|Most Beautiful Item for Each Query|most-beautiful-item-for-each-query
2074|Reverse Nodes in Even Length Groups|reverse-nodes-in-even-length-groups
2075|Decode the Slanted Ciphertext|decode-the-slanted-ciphertext
2079|Watering Plants|watering-plants
2080|Range Frequency Queries|range-frequency-queries
2086|Minimum Number of Food Buckets to Feed the Hamsters|minimum-number-of-food-buckets-to-feed-the-hamsters
2087|Minimum Cost Homecoming of a Robot in a Grid|minimum-cost-homecoming-of-a-robot-in-a-grid
2090|K Radius Subarray Averages|k-radius-subarray-averages
2091|Removing Minimum and Maximum From Array|removing-minimum-and-maximum-from-array
2095|Delete the Middle Node of a Linked List|delete-the-middle-node-of-a-linked-list
2096|Step-By-Step Directions From a Binary Tree Node to Another|step-by-step-directions-from-a-binary-tree-node-to-another
2100|Find Good Days to Rob the Bank|find-good-days-to-rob-the-bank
2501|Longest Square Streak in an Array|longest-square-streak-in-an-array
2502|Design Memory Allocator|design-memory-allocator
2507|Smallest Value After Replacing With Sum of Prime Factors|smallest-value-after-replacing-with-sum-of-prime-factors
2512|Reward Top K Students|reward-top-k-students
2513|Minimize the Maximum of Two Arrays|minimize-the-maximum-of-two-arrays
2516|Take K of Each Character From Left and Right|take-k-of-each-character-from-left-and-right
2517|Maximum Tastiness of Candy Basket|maximum-tastiness-of-candy-basket
2521|Distinct Prime Factors of Product of Array|distinct-prime-factors-of-product-of-array
2522|Partition String Into Substrings With Values at Most K|partition-string-into-substrings-with-values-at-most-k
2523|Closest Prime Numbers in Range|closest-prime-numbers-in-range
2526|Find Consecutive Integers from a Data Stream|find-consecutive-integers-from-a-data-stream
2527|Find Xor-Beauty of Array|find-xor-beauty-of-array
2530|Maximal Score After Applying K Operations|maximal-score-after-applying-k-operations
2531|Make Number of Distinct Characters Equal|make-number-of-distinct-characters-equal
2536|Increment Submatrices by One|increment-submatrices-by-one
2537|Count the Number of Good Subarrays|count-the-number-of-good-subarrays
2541|Minimum Operations to Make Array Equal II|minimum-operations-to-make-array-equal-ii
2542|Maximum Subsequence Score|maximum-subsequence-score
2545|Sort the Students by Their Kth Score|sort-the-students-by-their-kth-score
2546|Apply Bitwise Operations to Make Strings Equal|apply-bitwise-operations-to-make-strings-equal
2550|Count Collisions of Monkeys on a Polygon|count-collisions-of-monkeys-on-a-polygon
2554|Maximum Number of Integers to Choose From a Range I|maximum-number-of-integers-to-choose-from-a-range-i
2555|Maximize Win From Two Segments|maximize-win-from-two-segments
2556|Disconnect Path in a Binary Matrix by at Most One Flip|disconnect-path-in-a-binary-matrix-by-at-most-one-flip
2559|Count Vowel Strings in Ranges|count-vowel-strings-in-ranges
2560|House Robber IV|house-robber-iv
2563|Count the Number of Fair Pairs|count-the-number-of-fair-pairs
2564|Substring XOR Queries|substring-xor-queries
2567|Minimum Score by Changing Two Elements|minimum-score-by-changing-two-elements
2568|Minimum Impossible OR|minimum-impossible-or
2571|Minimum Operations to Reduce an Integer to 0|minimum-operations-to-reduce-an-integer-to-0
2572|Count the Number of Square-Free Subsets|count-the-number-of-square-free-subsets
2575|Find the Divisibility Array of a String|find-the-divisibility-array-of-a-string
2576|Find the Maximum Number of Marked Indices|find-the-maximum-number-of-marked-indices
2579|Count Total Number of Colored Cells|count-total-number-of-colored-cells
2580|Count Ways to Group Overlapping Ranges|count-ways-to-group-overlapping-ranges
2583|Kth Largest Sum in a Binary Tree|kth-largest-sum-in-a-binary-tree
2587|Rearrange Array to Maximize Prefix Score|rearrange-array-to-maximize-prefix-score
2588|Count the Number of Beautiful Subarrays|count-the-number-of-beautiful-subarrays
2592|Maximize Greatness of an Array|maximize-greatness-of-an-array
2593|Find Score of an Array After Marking All Elements|find-score-of-an-array-after-marking-all-elements
2594|Minimum Time to Repair Cars|minimum-time-to-repair-cars
2596|Check Knight Tour Configuration|check-knight-tour-configuration
2597|The Number of Beautiful Subsets|the-number-of-beautiful-subsets
2598|Smallest Missing Non-negative Integer After Operations|smallest-missing-non-negative-integer-after-operations
3001|Minimum Moves to Capture The Queen|minimum-moves-to-capture-the-queen
3002|Maximum Size of a Set After Removals|maximum-size-of-a-set-after-removals
3006|Find Beautiful Indices in the Given Array I|find-beautiful-indices-in-the-given-array-i
3007|Maximum Number That Sum of the Prices Is Less Than or Equal to K|maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k
3011|Find if Array Can Be Sorted|find-if-array-can-be-sorted
3012|Minimize Length of Array Using Operations|minimize-length-of-array-using-operations
3015|Count the Number of Houses at a Certain Distance I|count-the-number-of-houses-at-a-certain-distance-i
3016|Minimum Number of Pushes to Type Word II|minimum-number-of-pushes-to-type-word-ii
3020|Find the Maximum Number of Elements in Subset|find-the-maximum-number-of-elements-in-subset
3021|Alice and Bob Playing Flower Game|alice-and-bob-playing-flower-game
3025|Find the Number of Ways to Place People I|find-the-number-of-ways-to-place-people-i
3026|Maximum Good Subarray Sum|maximum-good-subarray-sum
3029|Minimum Time to Revert Word to Initial State I|minimum-time-to-revert-word-to-initial-state-i
3030|Find the Grid of Region Average|find-the-grid-of-region-average
3034|Number of Subarrays That Match a Pattern I|number-of-subarrays-that-match-a-pattern-i
3035|Maximum Palindromes After Operations|maximum-palindromes-after-operations
3039|Apply Operations to Make String Empty|apply-operations-to-make-string-empty
3040|Maximum Number of Operations With the Same Score II|maximum-number-of-operations-with-the-same-score-ii
3043|Find the Length of the Longest Common Prefix|find-the-length-of-the-longest-common-prefix
3044|Most Frequent Prime|most-frequent-prime
3047|Find the Largest Area of Square Inside Two Rectangles|find-the-largest-area-of-square-inside-two-rectangles
3048|Earliest Second to Mark Indices I|earliest-second-to-mark-indices-i
3066|Minimum Operations to Exceed Threshold Value II|minimum-operations-to-exceed-threshold-value-ii
3067|Count Pairs of Connectable Servers in a Weighted Tree Network|count-pairs-of-connectable-servers-in-a-weighted-tree-network
3070|Count Submatrices with Top-Left Element and Sum Less Than k|count-submatrices-with-top-left-element-and-sum-less-than-k
3071|Minimum Operations to Write the Letter Y on a Grid|minimum-operations-to-write-the-letter-y-on-a-grid
3075|Maximize Happiness of Selected Children|maximize-happiness-of-selected-children
3076|Shortest Uncommon Substring in an Array|shortest-uncommon-substring-in-an-array
3080|Mark Elements on Array by Performing Queries|mark-elements-on-array-by-performing-queries
3081|Replace Question Marks in String to Minimize Its Value|replace-question-marks-in-string-to-minimize-its-value
3084|Count Substrings Starting and Ending with Given Character|count-substrings-starting-and-ending-with-given-character
3085|Minimum Deletions to Make String K-Special|minimum-deletions-to-make-string-k-special
3091|Apply Operations to Make Sum of Array Greater Than or Equal to k|apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k
3092|Most Frequent IDs|most-frequent-ids
3096|Minimum Levels to Gain More Points|minimum-levels-to-gain-more-points
3097|Shortest Subarray With OR at Least K II|shortest-subarray-with-or-at-least-k-ii
3100|Water Bottles II|water-bottles-ii
3503|Longest Palindrome After Substring Concatenation I|longest-palindrome-after-substring-concatenation-i
3508|Implement Router|implement-router
3513|Number of Unique XOR Triplets I|number-of-unique-xor-triplets-i
3514|Number of Unique XOR Triplets II|number-of-unique-xor-triplets-ii
3517|Smallest Palindromic Rearrangement I|smallest-palindromic-rearrangement-i
3521|Find Product Recommendation Pairs|find-product-recommendation-pairs
3522|Calculate Score After Performing Instructions|calculate-score-after-performing-instructions
3523|Make Array Non-decreasing|make-array-non-decreasing
3524|Find X Value of Array I|find-x-value-of-array-i
3527|Find the Most Common Response|find-the-most-common-response
3528|Unit Conversion I|unit-conversion-i
3529|Count Cells in Overlapping Horizontal and Vertical Substrings|count-cells-in-overlapping-horizontal-and-vertical-substrings
3531|Count Covered Buildings|count-covered-buildings
3532|Path Existence Queries in a Graph I|path-existence-queries-in-a-graph-i
3537|Fill a Special Grid|fill-a-special-grid
3542|Minimum Operations to Convert All Elements to Zero|minimum-operations-to-convert-all-elements-to-zero
3543|Maximum Weighted K-Edge Path|maximum-weighted-k-edge-path
3546|Equal Sum Grid Partition I|equal-sum-grid-partition-i
3551|Minimum Swaps to Sort by Digit Sum|minimum-swaps-to-sort-by-digit-sum
3552|Grid Teleportation Traversal|grid-teleportation-traversal
3556|Sum of Largest Prime Substrings|sum-of-largest-prime-substrings
3557|Find Maximum Number of Non Intersecting Substrings|find-maximum-number-of-non-intersecting-substrings
3558|Number of Ways to Assign Edge Weights I|number-of-ways-to-assign-edge-weights-i
3561|Resulting String After Adjacent Removals|resulting-string-after-adjacent-removals
3564|Seasonal Sales Analysis|seasonal-sales-analysis
3566|Partition Array into Two Equal Product Subsets|partition-array-into-two-equal-product-subsets
3567|Minimum Absolute Difference in Sliding Submatrix|minimum-absolute-difference-in-sliding-submatrix
3568|Minimum Moves to Clean the Classroom|minimum-moves-to-clean-the-classroom
3572|Maximize Y‑Sum by Picking a Triplet of Distinct X‑Values|maximize-ysum-by-picking-a-triplet-of-distinct-xvalues
3573|Best Time to Buy and Sell Stock V|best-time-to-buy-and-sell-stock-v
3576|Transform Array to All Equal Elements|transform-array-to-all-equal-elements
3577|Count the Number of Computer Unlocking Permutations|count-the-number-of-computer-unlocking-permutations
3578|Count Partitions With Max-Min Difference at Most K|count-partitions-with-max-min-difference-at-most-k
3580|Find Consistently Improving Employees|find-consistently-improving-employees
3583|Count Special Triplets|count-special-triplets
3584|Maximum Product of First and Last Elements of a Subsequence|maximum-product-of-first-and-last-elements-of-a-subsequence
3586|Find COVID Recovery Patients|find-covid-recovery-patients
3587|Minimum Adjacent Swaps to Alternate Parity|minimum-adjacent-swaps-to-alternate-parity
3588|Find Maximum Area of a Triangle|find-maximum-area-of-a-triangle
3589|Count Prime-Gap Balanced Subarrays|count-prime-gap-balanced-subarrays
3592|Inverse Coin Change|inverse-coin-change
3593|Minimum Increments to Equalize Leaf Paths|minimum-increments-to-equalize-leaf-paths
3597|Partition String |partition-string
3598|Longest Common Prefix Between Adjacent Strings After Removals|longest-common-prefix-between-adjacent-strings-after-removals
3599|Partition Array to Minimize XOR|partition-array-to-minimize-xor
LCR 102|目标和|YaVDxD
LCR 103|零钱兑换|gaM7Ch
LCR 104|组合总和 Ⅳ|D0F0SV
LCR 105|岛屿的最大面积|ZL6zAn
LCR 106|判断二分图|vEAB3K
LCR 107|01 矩阵|2bCMpM
LCR 109|打开转盘锁|zlDJc7
LCR 110|所有可能的路径|bP4bmD
LCR 111|除法求值|vlzXQL
LCR 113|课程表 II|QA2IGt
LCR 115|序列重建|ur2n8P
LCR 116|省份数量|bLyHh0
LCR 118|冗余连接|7LpjUW
LCR 119|最长连续序列|WhsWhI
LCR 121|寻找目标值 - 二维数组|er-wei-shu-zu-zhong-de-cha-zhao-lcof
LCR 124|推理二叉树|zhong-jian-er-cha-shu-lcof
LCR 129|字母迷宫|ju-zhen-zhong-de-lu-jing-lcof
LCR 130|衣橱整理|ji-qi-ren-de-yun-dong-fan-wei-lcof
LCR 131|砍竹子 I|jian-sheng-zi-lcof
LCR 132|砍竹子 II|jian-sheng-zi-ii-lcof
LCR 134|Pow(x, n)|shu-zhi-de-zheng-shu-ci-fang-lcof
LCR 138|有效数字|biao-shi-shu-zhi-de-zi-fu-chuan-lcof
LCR 143|子结构判断|shu-de-zi-jie-gou-lcof
LCR 148|验证图书取出顺序|zhan-de-ya-ru-dan-chu-xu-lie-lcof
LCR 149|彩灯装饰记录 I|cong-shang-dao-xia-da-yin-er-cha-shu-lcof
LCR 151|彩灯装饰记录 III|cong-shang-dao-xia-da-yin-er-cha-shu-iii-lcof
LCR 152|验证二叉搜索树的后序遍历序列|er-cha-sou-suo-shu-de-hou-xu-bian-li-xu-lie-lcof
LCR 153|二叉树中和为目标值的路径|er-cha-shu-zhong-he-wei-mou-yi-zhi-de-lu-jing-lcof
LCR 154|随机链表的复制|fu-za-lian-biao-de-fu-zhi-lcof
LCR 155|将二叉搜索树转化为排序的双向链表|er-cha-sou-suo-shu-yu-shuang-xiang-lian-biao-lcof
LCR 157|套餐内商品的排列顺序|zi-fu-chuan-de-pai-lie-lcof
LCR 163|找到第 k 位数字|shu-zi-xu-lie-zhong-mou-yi-wei-de-shu-zi-lcof
LCR 164|破解闯关密码|ba-shu-zu-pai-cheng-zui-xiao-de-shu-lcof
LCR 165|解密数字|ba-shu-zi-fan-yi-cheng-zi-fu-chuan-lcof
LCR 166|珠宝的最高价值|li-wu-de-zui-da-jie-zhi-lcof
LCR 167|招式拆解 I|zui-chang-bu-han-zhong-fu-zi-fu-de-zi-zi-fu-chuan-lcof
LCR 168|丑数|chou-shu-lcof
LCR 177|撞色搭配|shu-zu-zhong-shu-zi-chu-xian-de-ci-shu-lcof
LCR 178|训练计划 VI|shu-zu-zhong-shu-zi-chu-xian-de-ci-shu-ii-lcof
LCR 184|设计自助结算系统|dui-lie-de-zui-da-zhi-lcof
LCR 185|统计结果概率|nge-tou-zi-de-dian-shu-lcof
LCR 188|买卖芯片的最佳时机|gu-piao-de-zui-da-li-run-lcof
LCR 189|设计机械累加器|qiu-12n-lcof
LCR 191|按规则计算统计结果|gou-jian-cheng-ji-shu-zu-lcof
LCR 192|把字符串转换成整数 (atoi)|ba-zi-fu-chuan-zhuan-huan-cheng-zheng-shu-lcof
LCS 03|主题空间|YesdPw
